"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"57" "tvch" "N" "dm" 58.314 438.08667 265.87 325.69 468.16 97.61 "N.tvch" 496.40067 3
"58" "teof" "N" "dm" 246.842 249.49567 265.77 290.92 437.06 86.12 "N.teof" 496.33767 4
"59" "tecf" "N" "dm" 273.033333 879.44867 270.15 341.96 481.97 160.66 "N.tecf" 1152.482 5
"60" "tvcf" "N" "dm" 192.808667 779.556 261.12 331.86 466.72 121.17 "N.tvcf" 972.36467 6
"61" "teoh" "W" "dt" 127.949667 224.93633 250.99 319.59 447.05 60.39 "W.teoh" 352.886 1
"62" "tech" "W" "dt" 1152.978 635.91067 352.77 338.13 543.6 128.07 "W.tech" 1788.88867 2
"63" "tvch" "W" "dt" 2100.113333 2515.04467 332.78 345.02 531.87 178.02 "W.tvch" 4615.158 3
"64" "teof" "W" "dt" 5926.297 1904.47633 481.06 415.46 703.06 305.83 "W.teof" 7830.77333 4
"65" "tecf" "W" "dt" 13342.816 3950.782 790.59 478.7 1016.37 418.2 "W.tecf" 17293.598 5
"66" "tvcf" "W" "dt" 8040.200333 4437.72967 546.52 525.71 836.05 420.91 "W.tvcf" 12477.93 6
"67" "teoh" "N" "eu" 83.179 82.639 357.52 411.67 600.75 51.01 "N.teoh" 165.818 1
"68" "tech" "N" "eu" 103.094333 118.332 336.55 408.42 585.05 46.17 "N.tech" 221.42633 2
"69" "tvch" "N" "eu" 30.884667 41.557 332.29 399.07 573.06 39.71 "N.tvch" 72.44167 3
"70" "teof" "N" "eu" 1046.877 544.45833 348.07 392.67 578.87 116.69 "N.teof" 1591.33533 4
"71" "tecf" "N" "eu" 376.729333 862.47367 383.48 480.94 679.99 140.33 "N.tecf" 1239.203 5
"72" "tvcf" "N" "eu" 412.399667 238.63767 354.05 452.96 636.13 73.56 "N.tvcf" 651.03733 6
"73" "teoh" "W" "gl" 539.83 1847.11733 324.66 350.96 532.26 116.05 "W.teoh" 2386.94733 1
"74" "tech" "W" "gl" 300.911333 1193.95433 420.4 493.14 723.58 288.93 "W.tech" 1494.86567 2
"75" "tvch" "W" "gl" 896.588667 2416.03033 380.28 445.84 654.9 283.27 "W.tvch" 3312.619 3
"76" "teof" "W" "gl" 1917.657667 1164.49967 440.53 480.85 721.54 208.35 "W.teof" 3082.15733 4
"77" "tecf" "W" "gl" 1351.726333 5803.61633 433.12 600.09 821.76 454.84 "W.tecf" 7155.34267 5
"78" "tvcf" "W" "gl" 137.411 1043.144 308.04 445.17 596.56 193.16 "W.tvcf" 1180.555 6
"79" "teoh" "W" "hb" 30.678667 23.90333 375.99 387.55 597.58 30.47 "W.teoh" 54.582 1
"80" "tech" "W" "hb" 20.278667 20.46233 369.63 402.48 604.23 41.09 "W.tech" 40.741 2
"81" "tvch" "W" "hb" 11.532667 29.72267 374.16 379.71 590.89 41.96 "W.tvch" 41.25533 3
"82" "teof" "W" "hb" 240.166 70.72867 392.09 399.1 621.48 75.98 "W.teof" 310.89467 4
"83" "tecf" "W" "hb" 404.039 645.329 405.73 427.19 655.41 169.38 "W.tecf" 1049.368 5
"84" "tvcf" "W" "hb" 422.274667 707.78567 401.11 424.36 648.15 119.38 "W.tvcf" 1130.06033 6
"85" "teoh" "N" "hc" 76.016333 85.43867 306.55 388.26 543.32 46.08 "N.teoh" 161.455 1
"86" "tech" "N" "hc" 32.525 109.19367 299.79 399.16 551.27 67.76 "N.tech" 141.71867 2
